Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491875874,1664283477,1802352347,1980079120,2188118620,2290652644,2360127924,2569683289,2649314247,2723158773,2997256318,2974475129,2921268406,3038381971,3368922435,3519548993,3665791558,3831099413,3902707461,3518673106,3430400602,3621879746,3638067915,3852024186,3954415809,3979287523,4021542786,4148372927,
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18905747973,20985844321,21867821320,25106158027,27263847424,31859338163,33759298205,41291811327,47799073121,48993947132,56259378245,60369803286,63127564981,64738255813,67046143127,70071644742,
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36461512534,38048634737,36643948882,28518232310,29515229638,34650445181,40061868577,43711617183,46258830197,47991313792,50582678024,53911397597,62219465504,65357520157,74510027862,88465852718,1.01713E+11,1.1905E+11,1.34939E+11,1.37131E+11,1.45551E+11,1.53714E+11,1.69918E+11,1.81217E+11,1.93365E+11,1.97306E+11,1.94668E+11,1.97879E+11,
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8574346297,6238234928,5921047067,6643868990,7348435875,8499426650,9442155754,8555028155,9451310422,10792625601,11927824855,13162820976,14221874732,15181435263,16414394764,17663306335,19630443663,21610757769,24251437333,25805632544,28046383512,29655413873,30530433405,30604028108,32529230085,33594704183,34198280066,37192477768,
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50849E+12,1.56345E+12,1.68106E+12,1.77488E+12,1.86642E+12,1.95673E+12,2.08499E+12,2.21197E+12,2.36767E+12,2.46038E+12,2.64825E+12,2.75685E+12,2.81539E+12,2.99871E+12,3.36436E+12,3.66806E+12,4.01316E+12,4.30657E+12,4.64704E+12,4.72717E+12,5.01477E+12,5.27164E+12,5.72506E+12,5.99491E+12,6.24606E+12,6.51728E+12,6.82534E+12,7.02789E+12,
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32772E+11,1.38371E+11,1.4626E+11,1.51628E+11,1.65534E+11,1.80288E+11,1.94224E+11,2.13728E+11,2.16678E+11,2.26379E+11,2.56657E+11,2.66179E+11,2.76842E+11,3.07212E+11,3.45857E+11,3.74317E+11,4.23771E+11,4.48903E+11,4.72318E+11,4.50954E+11,4.63778E+11,5.06158E+11,5.38599E+11,5.74954E+11,6.11017E+11,6.48925E+11,6.76844E+11,6.94468E+11,
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39768E+11,2.70376E+11,2.98489E+11,3.3067E+11,3.57416E+11,3.5449E+11,3.8091E+11,4.18854E+11,4.39701E+11,4.31317E+11,4.37651E+11,4.27889E+11,3.87126E+11,4.29738E+11,4.81425E+11,5.40901E+11,6.02383E+11,6.7412E+11,7.1523E+11,6.78009E+11,7.5578E+11,8.17698E+11,8.24212E+11,8.57669E+11,8.51124E+11,8.83852E+11,8.78814E+11,9.20163E+11,
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8558329070,7808540588,4648166189,4339987551,4671695182,5098201644,5495760949,5775463511,6264326459,6570077115,7116035771,7973754959,9163746289,10658796163,12098309164,14219082019,16590220304,19373470462,21116494555,18266187204,18896045357,20192628680,22045237582,23140511632,24403817572,25457851256,25834207818,28271475680,
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706150130.4,745538068.3,771365619.7,831416128.5,905798008.5,884378210.6,960000902.9,1029853217,1090284151,1148014252,1252707767,1217781360,1249138580,1351227713,1468026733,1612427301,1873508768,2101461979,2142038862,1896988520,1781905567,1780882298,1877286004,1905622952,2030182111,2134814207,2282903132,2394456953,
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95883E+11,3.07464E+11,3.18195E+11,3.37812E+11,3.5834E+11,3.77527E+11,4.02156E+11,4.24486E+11,4.52358E+11,4.77891E+11,5.04049E+11,5.3091E+11,5.64122E+11,5.90465E+11,6.30222E+11,6.63628E+11,7.09758E+11,7.60468E+11,7.94915E+11,8.72753E+11,8.65292E+11,9.35917E+11,9.71875E+11,1.05995E+12,1.09865E+12,1.10239E+12,1.11719E+12,1.19207E+12,
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49353E+11,1.59636E+11,1.66693E+11,1.71558E+11,1.79418E+11,1.88046E+11,1.95186E+11,2.02487E+11,2.12604E+11,2.2064E+11,2.35343E+11,2.39177E+11,2.51985E+11,2.6075E+11,2.75846E+11,2.88087E+11,3.11132E+11,3.26724E+11,3.43813E+11,3.41402E+11,3.51656E+11,3.73031E+11,3.91635E+11,4.0637E+11,4.16955E+11,4.31124E+11,4.41389E+11,4.61583E+11,
